date,state,dem_chance
2020-03-01,Alabama,0.0043
2020-03-02,Alabama,0.0034999999999999996
2020-03-03,Alabama,0.0039000000000000003
2020-03-04,Alabama,0.0042
2020-03-05,Alabama,0.004
2020-03-06,Alabama,0.0038
2020-03-07,Alabama,0.0039000000000000003
2020-03-08,Alabama,0.005699999999999999
2020-03-09,Alabama,0.0049
2020-03-10,Alabama,0.0043
2020-03-11,Alabama,0.0036
2020-03-12,Alabama,0.0042
2020-03-13,Alabama,0.004699999999999999
2020-03-14,Alabama,0.0042
2020-03-15,Alabama,0.0043
2020-03-16,Alabama,0.0045000000000000005
2020-03-17,Alabama,0.004
2020-03-18,Alabama,0.0046
2020-03-19,Alabama,0.0044
2020-03-20,Alabama,0.0052
2020-03-21,Alabama,0.0045000000000000005
2020-03-22,Alabama,0.0036
2020-03-23,Alabama,0.0042
2020-03-24,Alabama,0.0043
2020-03-25,Alabama,0.0038
2020-03-26,Alabama,0.0034000000000000002
2020-03-27,Alabama,0.0046
2020-03-28,Alabama,0.0048
2020-03-29,Alabama,0.0046
2020-03-30,Alabama,0.0040999999999999995
2020-03-31,Alabama,0.0040999999999999995
2020-04-01,Alabama,0.0044
2020-04-02,Alabama,0.0045000000000000005
2020-04-03,Alabama,0.004
2020-04-04,Alabama,0.0037
2020-04-05,Alabama,0.0034999999999999996
2020-04-06,Alabama,0.0039000000000000003
2020-04-07,Alabama,0.0040999999999999995
2020-04-08,Alabama,0.0034000000000000002
2020-04-09,Alabama,0.0042
2020-04-10,Alabama,0.0038
2020-04-11,Alabama,0.0031
2020-04-12,Alabama,0.0033
2020-04-13,Alabama,0.0038
2020-04-14,Alabama,0.0033
2020-04-15,Alabama,0.0034000000000000002
2020-04-16,Alabama,0.0046
2020-04-17,Alabama,0.0034000000000000002
2020-04-18,Alabama,0.0034000000000000002
2020-04-19,Alabama,0.0043
2020-04-20,Alabama,0.0034000000000000002
2020-04-21,Alabama,0.0038
2020-04-22,Alabama,0.003
2020-04-23,Alabama,0.0037
2020-04-24,Alabama,0.0032
2020-04-25,Alabama,0.0040999999999999995
2020-04-26,Alabama,0.0039000000000000003
2020-04-27,Alabama,0.0038
2020-04-28,Alabama,0.0040999999999999995
2020-04-29,Alabama,0.0036
2020-04-30,Alabama,0.0039000000000000003
2020-05-01,Alabama,0.0036
2020-05-02,Alabama,0.0034000000000000002
2020-05-03,Alabama,0.0034999999999999996
2020-05-04,Alabama,0.0037
2020-05-05,Alabama,0.0033
2020-05-06,Alabama,0.0032
2020-05-07,Alabama,0.003
2020-05-08,Alabama,0.0029
2020-05-09,Alabama,0.0034999999999999996
2020-05-10,Alabama,0.0032
2020-05-11,Alabama,0.0036
2020-05-12,Alabama,0.0029
2020-05-13,Alabama,0.0036
2020-05-14,Alabama,0.0031
2020-05-15,Alabama,0.0038
2020-05-16,Alabama,0.0045000000000000005
2020-05-17,Alabama,0.0038
2020-05-18,Alabama,0.0039000000000000003
2020-05-19,Alabama,0.0042
2020-05-20,Alabama,0.0053
2020-05-21,Alabama,0.0049
2020-05-22,Alabama,0.0060999999999999995
2020-05-23,Alabama,0.004699999999999999
2020-05-24,Alabama,0.0053
2020-05-25,Alabama,0.0058
2020-05-26,Alabama,0.0049
2020-05-27,Alabama,0.0039000000000000003
2020-05-28,Alabama,0.0049
2020-05-29,Alabama,0.0051
2020-05-30,Alabama,0.0045000000000000005
2020-05-31,Alabama,0.0045000000000000005
2020-06-01,Alabama,0.0054
2020-06-02,Alabama,0.0052
2020-06-03,Alabama,0.0063
2020-06-04,Alabama,0.0052
2020-06-05,Alabama,0.0053
2020-06-06,Alabama,0.0058
2020-06-07,Alabama,0.0048
2020-06-08,Alabama,0.005600000000000001
2020-06-09,Alabama,0.0060999999999999995
2020-06-10,Alabama,0.005699999999999999
2020-06-11,Alabama,0.006999999999999999
2020-06-12,Alabama,0.0066
2020-06-13,Alabama,0.0069
2020-06-14,Alabama,0.0070999999999999995
2020-06-15,Alabama,0.006999999999999999
2020-06-16,Alabama,0.0070999999999999995
2020-06-17,Alabama,0.0077
2020-06-18,Alabama,0.0070999999999999995
2020-06-19,Alabama,0.005600000000000001
2020-06-20,Alabama,0.0069
2020-06-21,Alabama,0.0067
2020-06-22,Alabama,0.0069
2020-06-23,Alabama,0.0066
2020-06-24,Alabama,0.0067
2020-06-25,Alabama,0.0069
2020-06-26,Alabama,0.0059
2020-06-27,Alabama,0.0064
2020-06-28,Alabama,0.0064
2020-06-29,Alabama,0.005600000000000001
2020-06-30,Alabama,0.0068000000000000005
2020-07-01,Alabama,0.005600000000000001
2020-07-02,Alabama,0.0062
2020-07-03,Alabama,0.0069
2020-07-04,Alabama,0.0069
2020-07-05,Alabama,0.006
2020-07-06,Alabama,0.006500000000000001
2020-07-07,Alabama,0.0055000000000000005
2020-07-08,Alabama,0.005600000000000001
2020-07-09,Alabama,0.0058
2020-07-10,Alabama,0.006500000000000001
2020-07-11,Alabama,0.0066
2020-07-12,Alabama,0.0070999999999999995
2020-07-13,Alabama,0.0063
2020-07-14,Alabama,0.0064
2020-07-15,Alabama,0.0054
2020-07-16,Alabama,0.006500000000000001
2020-07-17,Alabama,0.0069
2020-07-18,Alabama,0.0058
2020-07-19,Alabama,0.0054
2020-07-20,Alabama,0.006
2020-07-21,Alabama,0.0053
2020-07-22,Alabama,0.005600000000000001
2020-07-23,Alabama,0.0069
2020-07-24,Alabama,0.0063
2020-07-25,Alabama,0.0059
2020-07-26,Alabama,0.005600000000000001
2020-07-27,Alabama,0.0051
2020-07-28,Alabama,0.0058
2020-07-29,Alabama,0.005600000000000001
2020-07-30,Alabama,0.0051
2020-07-31,Alabama,0.0059
2020-08-01,Alabama,0.0054
2020-08-02,Alabama,0.004
2020-08-03,Alabama,0.0044
2020-08-04,Alabama,0.0038
2020-08-05,Alabama,0.0034000000000000002
2020-08-06,Alabama,0.0034999999999999996
2020-08-07,Alabama,0.0040999999999999995
2020-08-08,Alabama,0.0043
2020-08-09,Alabama,0.0040999999999999995
2020-08-10,Alabama,0.0037
2020-08-11,Alabama,0.0032
2020-08-12,Alabama,0.0042
2020-08-13,Alabama,0.0038
2020-08-14,Alabama,0.004
2020-08-15,Alabama,0.0028000000000000004
2020-08-16,Alabama,0.0042
2020-08-17,Alabama,0.0028000000000000004
2020-08-18,Alabama,0.0028000000000000004
2020-08-19,Alabama,0.0072
2020-08-20,Alabama,0.0055000000000000005
2020-08-21,Alabama,0.0064
2020-08-22,Alabama,0.0044
2020-08-23,Alabama,0.0055000000000000005
2020-08-24,Alabama,0.0052
2020-08-25,Alabama,0.0055000000000000005
2020-08-26,Alabama,0.0055000000000000005
2020-08-27,Alabama,0.0059
2020-08-28,Alabama,0.004
2020-08-29,Alabama,0.0046
2020-08-30,Alabama,0.004
2020-08-31,Alabama,0.0034000000000000002
2020-09-01,Alabama,0.0040999999999999995
2020-09-02,Alabama,0.0042
2020-09-03,Alabama,0.004
2020-09-04,Alabama,0.0038
2020-09-05,Alabama,0.004
2020-09-06,Alabama,0.0024
2020-09-07,Alabama,0.0034999999999999996
2020-09-08,Alabama,0.0032
2020-09-09,Alabama,0.0034000000000000002
2020-09-10,Alabama,0.003
2020-09-11,Alabama,0.0033
2020-09-12,Alabama,0.0034999999999999996
2020-09-13,Alabama,0.0027
2020-09-14,Alabama,0.0027
2020-09-15,Alabama,0.0026
2020-09-16,Alabama,0.0031
2020-09-17,Alabama,0.0022
2020-09-18,Alabama,0.003
2020-09-19,Alabama,0.0021
2020-09-20,Alabama,0.0019
2020-09-21,Alabama,0.0026
2020-09-22,Alabama,0.002
2020-09-23,Alabama,0.0018
2020-09-24,Alabama,0.0018
2020-09-25,Alabama,0.0014000000000000002
2020-09-26,Alabama,0.0023
2020-09-27,Alabama,0.0014000000000000002
2020-09-28,Alabama,0.0016
2020-09-29,Alabama,0.0014000000000000002
2020-09-30,Alabama,0.0023
2020-10-01,Alabama,0.0017000000000000001
2020-10-02,Alabama,0.0016
2020-10-03,Alabama,0.0014000000000000002
2020-10-04,Alabama,0.0018
2020-10-05,Alabama,0.0013
2020-10-06,Alabama,0.002
2020-10-07,Alabama,0.002
2020-10-08,Alabama,0.0017000000000000001
